invoice_id,quantity,tax_5%,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,customer_id,product_id,sales_id,average_price_per_unit
765-26-6951,6,21.783,457.443,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9,3,18,18,76.2405
329-62-1586,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6,3,19,19,57.4035
319-50-3348,2,4.03,84.63,3/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4,9,20,20,42.315
300-71-4605,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8,10,21,21,90.342
371-85-5789,3,13.197,277.137,3/5/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1,11,22,22,92.379
273-16-6619,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4,11,23,23,34.86
636-48-8204,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9,3,24,24,36.288
549-59-1358,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,4,25,25,93.06150000000001
227-03-5010,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5,1,26,26,55.2195
649-29-6775,1,1.676,35.196,2/8/2019,15:31,Cash,33.52,4.761904762,1.676,6.7,11,27,27,35.196
189-17-4241,2,8.767,184.107,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7,8,28,28,92.0535
145-94-9061,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6,9,29,29,92.77799999999999
848-62-7243,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4,3,30,30,26.1345
871-79-8483,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8,11,31,31,98.8365
149-71-6266,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5,7,32,32,81.9735
640-49-2076,8,33.512,703.752,1/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1,11,33,33,87.969
595-11-5460,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1,3,34,34,101.409
183-56-6882,4,19.884,417.564,2/6/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5,12,35,35,104.391
232-16-2483,1,3.406,71.526,1/7/2019,12:28,Ewallet,68.12,4.761904762,3.406,6.8,12,36,36,71.526
129-29-8530,5,15.655,328.755,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7.0,4,37,37,65.751
272-65-1806,9,27.396,575.316,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7,8,38,38,63.92400000000001
333-73-7901,8,21.968,461.328,3/23/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6,2,39,39,57.666
777-82-7220,8,12.048,253.008,3/3/2019,13:01,Cash,240.96,4.761904762,12.048,7.7,7,40,40,31.626
280-35-5823,1,4.336,91.056,1/17/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9,6,41,41,91.056
554-53-8700,2,5.611,117.831,2/2/2019,10:11,Cash,112.22,4.761904762,5.611,6.3,10,42,42,58.9155
354-25-5821,6,20.736,435.456,2/8/2019,13:03,Cash,414.72,4.761904762,20.736,5.6,6,43,43,72.57600000000001
228-96-1411,8,39.48,829.08,3/4/2019,20:39,Cash,789.6,4.761904762,39.48,7.6,12,44,44,103.635
617-15-4209,2,1.537,32.277,3/16/2019,19:47,Cash,30.74,4.761904762,1.537,7.2,10,45,45,16.1385
132-32-9879,4,18.792,394.632,3/9/2019,18:00,Cash,375.84,4.761904762,18.792,9.5,6,46,46,98.658
370-41-7321,9,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4,7,47,47,59.5245
727-46-3608,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,6,48,48,21.0105
669-54-1719,6,5.679,119.259,2/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1,7,49,49,19.8765
574-22-5561,10,41.315,867.615,3/19/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9,12,50,50,86.7615
326-78-5178,7,31.99,671.79,2/3/2019,10:19,Cash,639.8,4.761904762,31.99,9.5,10,51,51,95.97
162-48-8011,5,11.1475,234.0975,2/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5,1,52,52,46.8195
616-24-2851,4,3.574,75.054,3/22/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5,6,53,53,18.7635
778-71-5554,1,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1,10,54,54,16.2015
242-55-6721,2,1.616,33.936,3/7/2019,11:49,Ewallet,32.32,4.761904762,1.616,6.5,11,55,55,16.968
399-46-5918,8,34.392,722.232,2/28/2019,19:01,Cash,687.84,4.761904762,34.392,8.2,2,56,56,90.279
106-35-6779,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8,4,57,57,46.557
635-40-6220,8,35.84,752.64,2/7/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6,3,58,58,94.08
817-48-8732,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4,1,59,59,75.9675
120-06-4233,6,9.183,192.843,3/12/2019,20:36,Cash,183.66,4.761904762,9.183,9.3,5,60,60,32.140499999999996
285-68-5083,3,3.711,77.931,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10.0,12,61,61,25.977
803-83-5989,6,16.719,351.099,2/24/2019,10:55,Ewallet,334.38,4.761904762,16.719,7.0,5,62,62,58.5165
347-34-2234,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,6,63,63,57.8235
199-75-8169,10,7.905,166.005,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6,4,64,64,16.6005
853-23-2453,4,15.148,318.108,2/14/2019,14:35,Cash,302.96,4.761904762,15.148,7.6,7,65,65,79.527
877-22-3308,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8,4,66,66,16.6635
838-78-4295,2,3.347,70.287,2/10/2019,15:43,Ewallet,66.94,4.761904762,3.347,6.7,2,67,67,35.1435
109-28-2512,6,29.283,614.943,1/7/2019,15:01,Ewallet,585.66,4.761904762,29.283,9.9,6,68,68,102.4905
232-11-3025,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4,3,69,69,82.7085
382-03-4532,1,0.9165,19.2465,2/2/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3,1,70,70,19.2465
393-65-2792,10,44.74,939.54,1/6/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6,5,71,71,93.954
796-12-2025,10,31.06,652.26,2/11/2019,16:19,Cash,621.2,4.761904762,31.06,5.9,5,72,72,65.226
510-95-6347,3,7.278,152.838,3/5/2019,18:17,Ewallet,145.56,4.761904762,7.278,4.0,6,73,73,50.946
841-35-6630,6,22.773,478.233,3/9/2019,18:21,Cash,455.46,4.761904762,22.773,8.7,2,74,74,79.7055
287-21-9091,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,3,75,75,78.4035
732-94-0499,10,20.825,437.325,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4,2,76,76,43.7325
263-10-3913,9,22.068,463.428,1/9/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6,10,77,77,51.492
381-20-0914,9,9.0045,189.0945,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7,1,78,78,21.0105
829-49-1914,10,39.155,822.255,3/5/2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6,12,79,79,82.2255
756-01-7507,5,5.095,106.995,1/22/2019,18:56,Cash,101.9,4.761904762,5.095,6.0,2,80,80,21.399
870-72-4431,6,29.757,624.897,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5,2,81,81,104.1495
847-38-7188,3,14.502,304.542,1/26/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4,9,82,82,101.514
480-63-2856,8,7.7,161.7,1/23/2019,18:37,Ewallet,154.0,4.761904762,7.7,6.6,5,83,83,20.2125
787-56-0757,4,16.072,337.512,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3,12,84,84,84.378
360-39-5055,5,12.2275,256.7775,3/9/2019,10:17,Cash,244.55,4.761904762,12.2275,6.6,10,85,85,51.35549999999999
730-50-9884,7,29.071,610.491,3/5/2019,14:31,Ewallet,581.42,4.761904762,29.071,4.0,2,86,86,87.213
362-58-8315,5,19.13,401.73,3/25/2019,10:23,Cash,382.6,4.761904762,19.13,9.9,5,87,87,80.346
633-44-8566,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3,4,88,88,51.849
504-35-8843,1,2.1235,44.5935,1/2/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7,3,89,89,44.5935
318-68-5053,6,23.097,485.037,2/27/2019,17:55,Cash,461.94,4.761904762,23.097,6.1,9,90,90,80.8395
565-80-5980,4,9.476,198.996,1/23/2019,10:25,Cash,189.52,4.761904762,9.476,7.1,12,91,91,49.749
225-32-0908,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2,2,92,92,47.102999999999994
873-51-0671,7,7.693,161.553,1/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1,1,93,93,23.079
152-08-9985,9,28.962,608.202,3/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6,7,94,94,67.578
512-91-0811,1,4.4875,94.2375,2/6/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6,5,95,95,94.2375
594-34-4444,1,4.858,102.018,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2,3,96,96,102.018
766-85-7061,10,43.935,922.635,3/29/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1,11,97,97,92.2635
871-39-9221,6,3.735,78.435,2/9/2019,13:11,Cash,74.7,4.761904762,3.735,4.1,2,98,98,13.0725
865-92-6136,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,3,99,99,55.387499999999996
733-01-9107,6,24.81,521.01,3/5/2019,18:14,Cash,496.2,4.761904762,24.81,7.4,11,100,100,86.835
163-56-7055,1,2.4355,51.1455,3/26/2019,19:20,Cash,48.71,4.761904762,2.4355,4.1,10,101,101,51.1455
189-98-2939,9,35.3475,742.2975,3/1/2019,13:22,Cash,706.95,4.761904762,35.3475,7.2,5,102,102,82.4775
551-21-3069,9,10.3815,218.0115,2/1/2019,11:27,Cash,207.63,4.761904762,10.3815,4.9,2,103,103,24.2235
212-62-1842,6,17.478,367.038,3/28/2019,16:44,Cash,349.56,4.761904762,17.478,9.9,3,104,104,61.173
716-39-1409,7,10.6225,223.0725,3/19/2019,18:19,Cash,212.45,4.761904762,10.6225,8.0,11,105,105,31.8675
704-48-3927,10,44.335,931.035,1/12/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3,4,106,106,93.1035
628-34-3388,6,8.214,172.494,1/5/2019,20:54,Credit card,164.28,4.761904762,8.214,7.9,5,107,107,28.749
630-74-5166,6,18.639,391.419,3/22/2019,20:19,Cash,372.78,4.761904762,18.639,7.4,3,108,108,65.23649999999999
588-01-7461,9,15.291,321.111,3/24/2019,10:43,Cash,305.82,4.761904762,15.291,4.2,2,109,109,35.679
861-77-0145,10,40.985,860.685,3/3/2019,14:30,Cash,819.7,4.761904762,40.985,9.2,10,110,110,86.0685
479-26-8945,2,1.649,34.629,2/5/2019,11:32,Ewallet,32.98,4.761904762,1.649,4.6,6,111,111,17.3145
210-67-5886,3,14.7315,309.3615,2/5/2019,10:41,Credit card,294.63,4.761904762,14.7315,7.8,12,112,112,103.12049999999999
227-78-1148,7,25.494,535.374,2/15/2019,12:44,Cash,509.88,4.761904762,25.494,8.4,9,113,113,76.482
645-44-1170,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,4,114,114,60.973499999999994
237-01-6122,9,36.3555,763.4655,2/1/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5,12,115,115,84.8295
225-98-1496,3,4.053,85.113,3/2/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1,2,116,116,28.371
291-32-1427,5,5.485,115.185,3/5/2019,12:29,Ewallet,109.7,4.761904762,5.485,5.3,7,117,117,23.037
659-65-8956,1,2.568,53.928,1/16/2019,15:26,Ewallet,51.36,4.761904762,2.568,5.2,7,118,118,53.928
642-32-2990,10,5.48,115.08,2/2/2019,20:48,Ewallet,109.6,4.761904762,5.48,6.0,8,119,119,11.508
378-24-2715,2,5.344,112.224,1/20/2019,20:38,Ewallet,106.88,4.761904762,5.344,4.1,11,120,120,56.112
638-60-7125,8,39.824,836.304,2/14/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2,8,121,121,104.538
659-36-1684,7,19.992,419.832,1/12/2019,12:02,Credit card,399.84,4.761904762,19.992,6.5,10,122,122,59.976
219-22-9386,9,44.982,944.622,3/9/2019,17:26,Credit card,899.64,4.761904762,44.982,4.2,7,123,123,104.958
336-78-2147,8,25.564,536.844,3/13/2019,19:52,Credit card,511.28,4.761904762,25.564,4.6,10,124,124,67.1055
268-27-6179,8,22.588,474.348,3/9/2019,14:57,Ewallet,451.76,4.761904762,22.588,7.3,6,125,125,59.2935
668-90-8900,7,32.7915,688.6215,3/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5,8,126,126,98.3745
870-54-3162,5,8.0625,169.3125,1/27/2019,13:26,Cash,161.25,4.761904762,8.0625,9.0,8,127,127,33.8625
189-08-9157,9,14.2785,299.8485,1/8/2019,16:17,Credit card,285.57,4.761904762,14.2785,5.9,2,128,128,33.3165
663-86-9076,8,27.416,575.736,1/8/2019,15:57,Ewallet,548.32,4.761904762,27.416,8.5,12,129,129,71.967
549-84-7482,9,40.626,853.146,2/8/2019,11:15,Ewallet,812.52,4.761904762,40.626,7.2,9,130,130,94.794
191-10-6171,7,13.867,291.207,1/25/2019,13:18,Cash,277.34,4.761904762,13.867,7.5,9,131,131,41.601
802-70-5316,6,27.639,580.419,3/6/2019,20:34,Cash,552.78,4.761904762,27.639,8.3,1,132,132,96.73649999999999
695-51-0018,4,6.968,146.328,2/10/2019,18:36,Cash,139.36,4.761904762,6.968,7.4,9,133,133,36.582
590-83-4591,6,26.235,550.935,2/17/2019,14:40,Credit card,524.7,4.761904762,26.235,8.8,7,134,134,91.82249999999999
483-71-1164,6,24.39,512.19,3/8/2019,16:43,Ewallet,487.8,4.761904762,24.39,5.3,2,135,135,85.36500000000001
597-78-7908,3,13.533,284.193,2/18/2019,19:39,Cash,270.66,4.761904762,13.533,6.2,5,136,136,94.731
700-81-1757,5,6.5775,138.1275,1/18/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8,8,137,137,27.6255
354-39-5160,6,10.326,216.846,2/18/2019,15:39,Cash,206.52,4.761904762,10.326,9.8,1,138,138,36.141
241-72-9525,10,25.955,545.055,2/16/2019,12:21,Cash,519.1,4.761904762,25.955,8.2,11,139,139,54.5055
575-30-8091,8,29.0,609.0,3/16/2019,19:25,Ewallet,580.0,4.761904762,29.0,9.2,3,140,140,76.125
731-81-9469,10,44.9,942.9,1/23/2019,13:00,Credit card,898.0,4.761904762,44.9,5.4,12,141,141,94.28999999999999
280-17-4359,10,45.25,950.25,1/25/2019,13:48,Cash,905.0,4.761904762,45.25,8.1,10,142,142,95.025
338-65-2210,10,34.3,720.3,2/5/2019,19:57,Cash,686.0,4.761904762,34.3,9.1,12,143,143,72.03
488-25-4221,1,1.5205,31.9305,2/22/2019,10:36,Credit card,30.41,4.761904762,1.5205,8.4,12,144,144,31.9305
239-10-7476,6,23.385,491.085,1/21/2019,16:37,Ewallet,467.7,4.761904762,23.385,8.0,8,145,145,81.8475
458-41-1477,6,13.878,291.438,3/8/2019,17:11,Credit card,277.56,4.761904762,13.878,9.5,2,146,146,48.573
685-64-1609,10,15.07,316.47,2/10/2019,12:28,Ewallet,301.4,4.761904762,15.07,9.2,1,147,147,31.647000000000002
568-90-5112,4,13.228,277.788,3/19/2019,12:46,Credit card,264.56,4.761904762,13.228,5.6,5,148,148,69.447
262-47-2794,8,28.744,603.624,3/6/2019,15:07,Credit card,574.88,4.761904762,28.744,6.2,7,149,149,75.453
238-49-0436,8,12.984,272.664,3/27/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9,3,150,150,34.083
608-96-3517,4,18.308,384.468,3/23/2019,19:20,Credit card,366.16,4.761904762,18.308,4.8,6,151,151,96.117
584-86-7256,7,12.096,254.016,3/11/2019,16:07,Credit card,241.92,4.761904762,12.096,7.3,10,152,152,36.288
746-94-0204,9,37.458,786.618,1/29/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4,3,153,153,87.402
214-17-6927,6,4.944,103.824,2/7/2019,18:23,Ewallet,98.88,4.761904762,4.944,9.9,2,154,154,17.304
400-89-4171,8,32.388,680.148,1/28/2019,13:05,Cash,647.76,4.761904762,32.388,9.3,2,155,155,85.0185
782-95-9291,5,23.0725,484.5225,2/20/2019,15:55,Credit card,461.45,4.761904762,23.0725,9.0,4,156,156,96.9045
279-74-2924,1,3.6085,75.7785,1/4/2019,19:40,Cash,72.17,4.761904762,3.6085,6.1,7,157,157,75.7785
307-85-2293,5,12.57,263.97,3/7/2019,13:58,Ewallet,251.4,4.761904762,12.57,9.7,11,158,158,52.794000000000004
743-04-1105,9,43.749,918.729,3/30/2019,14:43,Ewallet,874.98,4.761904762,43.749,6.0,7,159,159,102.081
423-57-2993,6,28.017,588.357,3/27/2019,19:18,Ewallet,560.34,4.761904762,28.017,10.0,11,160,160,98.0595
894-41-5205,8,17.272,362.712,1/19/2019,19:39,Credit card,345.44,4.761904762,17.272,8.3,2,161,161,45.339
275-28-0149,1,3.1845,66.8745,2/25/2019,16:21,Cash,63.69,4.761904762,3.1845,6.0,3,162,162,66.8745
101-17-6199,7,16.0265,336.5565,3/13/2019,19:44,Credit card,320.53,4.761904762,16.0265,7.0,3,163,163,48.0795
423-80-0988,2,7.64,160.44,1/30/2019,19:42,Ewallet,152.8,4.761904762,7.64,6.5,5,164,164,80.22
548-46-9322,10,19.95,418.95,2/20/2019,15:24,Credit card,399.0,4.761904762,19.95,5.9,11,165,165,41.894999999999996
505-02-0892,8,17.028,357.588,2/25/2019,14:12,Ewallet,340.56,4.761904762,17.028,5.6,7,166,166,44.6985
234-65-2137,10,47.79,1003.59,1/16/2019,13:32,Cash,955.8,4.761904762,47.79,4.8,5,167,167,100.35900000000001
687-47-8271,10,49.49,1039.29,2/8/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7,3,168,168,103.929
796-32-9050,6,15.384,323.064,1/19/2019,16:31,Cash,307.68,4.761904762,15.384,6.5,3,169,169,53.844
105-31-1824,7,24.332,510.972,2/1/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5,4,170,170,72.996
249-42-3782,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5,3,171,171,73.51050000000001
316-55-4634,5,20.0125,420.2625,1/26/2019,12:45,Credit card,400.25,4.761904762,20.0125,9.4,7,172,172,84.0525
733-33-4967,8,8.34,175.14,3/3/2019,19:17,Cash,166.8,4.761904762,8.34,6.3,5,173,173,21.8925
608-27-6295,6,15.867,333.207,1/19/2019,17:34,Credit card,317.34,4.761904762,15.867,9.8,7,174,174,55.5345
414-12-7047,8,7.916,166.236,1/18/2019,12:04,Ewallet,158.32,4.761904762,7.916,8.7,11,175,175,20.7795
827-26-2100,9,15.228,319.788,3/21/2019,16:21,Ewallet,304.56,4.761904762,15.228,8.8,4,176,176,35.532000000000004
175-54-2529,8,8.868,186.228,3/3/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6,4,177,177,23.2785
139-52-2867,7,7.8785,165.4485,2/13/2019,10:50,Credit card,157.57,4.761904762,7.8785,4.8,2,178,178,23.6355
407-63-8975,6,22.164,465.444,3/23/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4,3,179,179,77.574
342-65-4817,3,13.02,273.42,1/28/2019,16:47,Ewallet,260.4,4.761904762,13.02,9.9,10,180,180,91.14
130-98-8941,7,22.491,472.311,2/9/2019,10:00,Cash,449.82,4.761904762,22.491,5.7,5,181,181,67.473
434-83-9547,8,15.388,323.148,1/23/2019,11:51,Cash,307.76,4.761904762,15.388,7.7,10,182,182,40.3935
851-28-6367,10,7.75,162.75,3/23/2019,10:55,Ewallet,155.0,4.761904762,7.75,8.0,4,183,183,16.275
824-88-3614,8,13.724,288.204,1/25/2019,15:00,Ewallet,274.48,4.761904762,13.724,5.7,5,184,184,36.0255
586-25-0848,7,4.319,90.699,3/4/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7,8,185,185,12.956999999999999
895-66-0685,3,2.712,56.952,3/5/2019,19:46,Ewallet,54.24,4.761904762,2.712,8.0,7,186,186,18.983999999999998
305-14-0245,8,37.796,793.716,3/3/2019,19:00,Ewallet,755.92,4.761904762,37.796,7.5,6,187,187,99.2145
732-04-5373,4,9.294,195.174,2/8/2019,10:53,Cash,185.88,4.761904762,9.294,7.0,7,188,188,48.7935
400-60-7251,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,74.07,4.761904762,3.7035,9.9,3,189,189,77.7735
593-65-1552,4,13.962,293.202,1/28/2019,20:50,Credit card,279.24,4.761904762,13.962,5.9,2,190,190,73.3005
284-34-9626,3,11.556,242.676,2/11/2019,10:39,Credit card,231.12,4.761904762,11.556,7.2,9,191,191,80.892
437-58-8131,2,7.352,154.392,1/15/2019,13:41,Ewallet,147.04,4.761904762,7.352,4.6,9,192,192,77.196
286-43-6208,9,39.51,829.71,3/16/2019,19:08,Cash,790.2,4.761904762,39.51,9.2,2,193,193,92.19
641-43-2399,4,5.11,107.31,1/26/2019,20:23,Ewallet,102.2,4.761904762,5.11,5.7,11,194,194,26.8275
831-07-6050,5,8.1775,171.7275,3/19/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9,3,195,195,34.3455
556-86-3144,1,3.7145,78.0045,1/13/2019,19:30,Cash,74.29,4.761904762,3.7145,5.0,12,196,196,78.0045
848-24-9445,2,4.37,91.77,3/26/2019,18:03,Cash,87.4,4.761904762,4.37,4.9,10,197,197,45.885
856-22-8149,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1,8,198,198,26.5545
699-01-4164,4,8.3,174.3,3/12/2019,19:58,Credit card,166.0,4.761904762,8.3,8.2,5,199,199,43.575
420-11-4919,5,17.8475,374.7975,2/17/2019,19:57,Credit card,356.95,4.761904762,17.8475,5.5,12,200,200,74.9595
606-80-4905,6,5.745,120.645,1/29/2019,10:01,Credit card,114.9,4.761904762,5.745,6.8,12,201,201,20.107499999999998
542-41-0513,4,11.498,241.458,3/15/2019,11:57,Cash,229.96,4.761904762,11.498,6.6,6,202,202,60.3645
426-39-2418,7,21.4935,451.3635,1/14/2019,10:02,Cash,429.87,4.761904762,21.4935,9.8,5,203,203,64.48049999999999
875-46-5808,10,12.95,271.95,2/6/2019,14:51,Ewallet,259.0,4.761904762,12.95,8.7,7,204,204,27.195
394-43-4238,5,4.4425,93.2925,2/15/2019,12:42,Credit card,88.85,4.761904762,4.4425,5.4,7,205,205,18.6585
749-24-1565,9,10.3635,217.6335,1/3/2019,12:02,Ewallet,207.27,4.761904762,10.3635,7.9,8,206,206,24.1815
672-51-8681,9,29.9925,629.8425,1/4/2019,18:19,Credit card,599.85,4.761904762,29.9925,9.7,12,207,207,69.9825
263-87-5680,10,14.265,299.565,3/18/2019,17:38,Ewallet,285.3,4.761904762,14.265,7.8,12,208,208,29.9565
573-58-9734,3,4.5555,95.6655,3/28/2019,13:41,Ewallet,91.11,4.761904762,4.5555,5.1,9,209,209,31.888499999999997
817-69-8206,9,44.8785,942.4485,3/2/2019,19:42,Credit card,897.57,4.761904762,44.8785,6.5,9,210,210,104.7165
888-02-0338,9,11.8035,247.8735,1/25/2019,20:24,Ewallet,236.07,4.761904762,11.8035,5.9,3,211,211,27.5415
677-11-0152,9,41.967,881.307,1/16/2019,18:08,Cash,839.34,4.761904762,41.967,8.8,2,212,212,97.923
142-63-6033,5,23.09,484.89,3/20/2019,19:17,Ewallet,461.8,4.761904762,23.09,4.9,11,213,213,96.978
656-16-1063,3,6.963,146.223,1/4/2019,13:24,Credit card,139.26,4.761904762,6.963,4.4,11,214,214,48.74100000000001
891-58-8335,7,10.3635,217.6335,3/11/2019,15:53,Cash,207.27,4.761904762,10.3635,6.5,6,215,215,31.0905
802-43-8934,1,0.914,19.194,3/22/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3,3,216,216,19.194
560-30-5617,5,6.1925,130.0425,3/24/2019,18:27,Cash,123.85,4.761904762,6.1925,8.5,9,217,217,26.008499999999998
319-74-2561,3,14.196,298.116,2/21/2019,16:55,Cash,283.92,4.761904762,14.196,5.5,1,218,218,99.372
549-03-9315,8,37.948,796.908,2/12/2019,12:58,Ewallet,758.96,4.761904762,37.948,8.7,11,219,219,99.6135
790-29-1172,3,8.601,180.621,3/10/2019,18:59,Credit card,172.02,4.761904762,8.601,7.9,9,220,220,60.207
